Feature,Coefficient
Feature_0,0.0
Feature_1,-0.005830506129564916
Feature_2,-0.015590148791588798
Feature_3,0.0860859942132193
Feature_4,0.027972388414887465
Feature_5,-0.047468413870741674
Feature_6,-0.14697979504798853
Feature_7,-0.02195336909045408
Feature_8,-3.386595538779762e-05
Feature_9,-0.07535582480138604
Feature_10,0.002160626304202766
Feature_11,0.1815908871968859
Feature_12,0.0018296975754243513
Feature_13,0.0800109693721624
Feature_14,-0.05492638351980913
Feature_15,-0.020110372004539235
Feature_16,-0.0007154751415604374
Feature_17,0.005856850355148377
Feature_18,0.09698495611666186
Feature_19,-0.035135882374179465
Feature_20,-0.3579418007965711
Feature_21,0.15680562357338917
Feature_22,0.05244727965119142
Feature_23,-0.005227738940481092
Feature_24,-0.0003557866145503049
Feature_25,0.14620749398487345
Feature_26,0.13059306152368083
Feature_27,-0.08133169461569095
Feature_28,-0.40336878193227327
Feature_29,0.05787651488322062
Feature_30,0.056672002482350395
Feature_31,-0.00014953626271415
Feature_32,0.0
Feature_33,0.17975907648775238
Feature_34,0.05204941314464397
Feature_35,-0.12236813788912183
Feature_36,-0.360266965480708
Feature_37,0.05164873711491572
Feature_38,0.05959152722038488
Feature_39,0.0
Feature_40,-0.00033136311894843844
Feature_41,-0.050864856012497184
Feature_42,0.2604673118484281
Feature_43,-0.20220599759496813
Feature_44,-0.1511527249869389
Feature_45,0.08894933534830467
Feature_46,0.02854744585626706
Feature_47,-0.00018064829220835286
Feature_48,-0.0011459709158608193
Feature_49,-0.13783301093977504
Feature_50,0.12227443080428434
Feature_51,-0.09588125686027496
Feature_52,0.17862024656025596
Feature_53,0.011410603372132821
Feature_54,-0.015210982238847395
Feature_55,-0.004493888794683091
Feature_56,-4.187593601980482e-06
Feature_57,-0.006515000845177946
Feature_58,-0.07142308383073219
Feature_59,0.21329021828188627
Feature_60,-0.03648094504251057
Feature_61,-0.05002488081639753
Feature_62,-0.011820493969328254
Feature_63,-0.01013524193006118
Intercept,0.004837480978004823
